SN,Commodity,Date,Unit,Minimum,Maximum,Average
16166,Papaya(Nepali),2014-03-31,Kg,55.0,60.0,57.5
16167,Sugarcane,2014-03-31,1 Pc,45.0,50.0,47.5
16168,Kinnow,2014-03-31,Kg,60.0,65.0,62.5
16169,Ginger,2014-03-31,Kg,160.0,190.0,175.0
16170,Chilli Dry,2014-03-31,Kg,190.0,200.0,195.0
16171,Chilli Green,2014-03-31,Kg,70.0,80.0,75.0
16172,Capsicum,2014-03-31,Kg,55.0,65.0,60.0
16173,Garlic Green,2014-03-31,Kg,60.0,70.0,65.0
16174,Coriander Green,2014-03-31,Kg,30.0,40.0,35.0
16175,Garlic Dry Chinese,2014-03-31,Kg,120.0,130.0,125.0
16176,Garlic Dry Nepali,2014-03-31,Kg,85.0,95.0,90.0
16177,Fish Fresh,2014-03-31,Kg,210.0,220.0,215.0
16178,Tomato Big(Nepali),2014-04-01,Kg,30.0,36.0,33.0
16179,Tomato Small(Local),2014-04-01,Kg,34.0,40.0,37.0
16180,Potato Red,2014-04-01,Kg,23.0,24.0,23.5
16181,Potato White,2014-04-01,Kg,20.0,22.0,21.0
16182,Onion Dry (Indian),2014-04-01,Kg,26.0,27.0,26.5
16183,Carrot(Local),2014-04-01,Kg,25.0,30.0,27.5
16184,Cabbage(Local),2014-04-01,Kg,16.0,20.0,18.0
16185,Cauli Local,2014-04-01,Kg,18.0,22.0,20.0
16186,Raddish Red,2014-04-01,Kg,25.0,30.0,27.5
16187,Raddish White(Local),2014-04-01,Kg,18.0,22.0,20.0
16188,Brinjal Long,2014-04-01,Kg,30.0,35.0,32.5
16189,Brinjal Round,2014-04-01,Kg,30.0,36.0,33.0
16190,Cow pea(Long),2014-04-01,Kg,75.0,80.0,77.5
16191,Green Peas,2014-04-01,Kg,38.0,45.0,41.5
16192,French Bean(Local),2014-04-01,Kg,36.0,40.0,38.0
16193,Sword Bean,2014-04-01,Kg,30.0,36.0,33.0
16194,Bitter Gourd,2014-04-01,Kg,65.0,75.0,70.0
16195,Bottle Gourd,2014-04-01,Kg,20.0,25.0,22.5
16196,Pointed Gourd(Local),2014-04-01,Kg,60.0,65.0,62.5
16197,Snake Gourd,2014-04-01,Kg,58.0,60.0,59.0
16198,Smooth Gourd,2014-04-01,Kg,60.0,65.0,62.5
16199,Pumpkin,2014-04-01,Kg,30.0,35.0,32.5
16200,Squash(Long),2014-04-01,Kg,16.0,20.0,18.0
16201,Turnip,2014-04-01,Kg,35.0,40.0,37.5
16202,Okara,2014-04-01,Kg,60.0,65.0,62.5
16203,Sweet Potato,2014-04-01,Kg,50.0,52.0,51.0
16204,Barela,2014-04-01,Kg,30.0,35.0,32.5
16205,Arum,2014-04-01,Kg,40.0,45.0,42.5
16206,Brd Leaf Mustard,2014-04-01,Kg,25.0,30.0,27.5
16207,Spinach Leaf,2014-04-01,Kg,35.0,40.0,37.5
16208,Cress Leaf,2014-04-01,Kg,40.0,45.0,42.5
16209,Mustard Leaf,2014-04-01,Kg,35.0,40.0,37.5
16210,Fenugreek Leaf,2014-04-01,Kg,40.0,45.0,42.5
16211,Onion Green,2014-04-01,Kg,28.0,30.0,29.0
16212,Bakula,2014-04-01,Kg,25.0,32.0,28.5
16213,Yam,2014-04-01,Kg,30.0,35.0,32.5
16214,Mushroom(Kanya),2014-04-01,Kg,115.0,125.0,120.0
16215,Neuro,2014-04-01,Kg,60.0,70.0,65.0
16216,Brocauli,2014-04-01,Kg,40.0,45.0,42.5
16217,Drumstick,2014-04-01,Kg,120.0,130.0,125.0
16218,Bauhania flower,2014-04-01,Kg,45.0,50.0,47.5
16219,Red Cabbbage,2014-04-01,Kg,90.0,100.0,95.0
16220,Lettuce,2014-04-01,Kg,35.0,40.0,37.5
16221,Knolkhol,2014-04-01,Kg,40.0,45.0,42.5
16222,Celery,2014-04-01,Kg,50.0,60.0,55.0
16223,Parseley,2014-04-01,Kg,130.0,140.0,135.0
16224,Fennel Leaf,2014-04-01,Kg,35.0,40.0,37.5
16225,Mint,2014-04-01,Kg,175.0,200.0,187.5
16226,Turnip A,2014-04-01,Kg,40.0,45.0,42.5
16227,Tamarind,2014-04-01,Kg,80.0,90.0,85.0
16228,Bamboo Shoot,2014-04-01,Kg,140.0,160.0,150.0
16229,Tofu,2014-04-01,Kg,65.0,70.0,67.5
16230,Gundruk,2014-04-01,Kg,190.0,200.0,195.0
16231,Apple(Jholey),2014-04-01,Kg,100.0,110.0,105.0
16232,Banana,2014-04-01,Doz,50.0,60.0,55.0
16233,Lime,2014-04-01,Kg,300.0,500.0,400.0
16234,Pomegranate,2014-04-01,Kg,270.0,290.0,280.0
16235,Grapes(Green),2014-04-01,Kg,100.0,110.0,105.0
16236,Orange(Nepali),2014-04-01,Kg,90.0,100.0,95.0
16237,Water Melon(Green),2014-04-01,Kg,25.0,30.0,27.5
16238,Sweet Orange,2014-04-01,Kg,65.0,70.0,67.5
16239,Pineapple,2014-04-01,1 Pc,70.0,75.0,72.5
16240,Cucumber(Local),2014-04-01,Kg,45.0,55.0,50.0
16241,Jack Fruit,2014-04-01,Kg,65.0,70.0,67.5
16242,Pear(Local),2014-04-01,Kg,140.0,150.0,145.0
16243,Papaya(Nepali),2014-04-01,Kg,55.0,60.0,57.5
16244,Sugarcane,2014-04-01,1 Pc,50.0,55.0,52.5
16245,Kinnow,2014-04-01,Kg,60.0,65.0,62.5
16246,Ginger,2014-04-01,Kg,190.0,200.0,195.0
16247,Chilli Dry,2014-04-01,Kg,190.0,200.0,195.0
16248,Chilli Green,2014-04-01,Kg,70.0,80.0,75.0
16249,Capsicum,2014-04-01,Kg,60.0,70.0,65.0
16250,Garlic Green,2014-04-01,Kg,50.0,60.0,55.0
16251,Coriander Green,2014-04-01,Kg,30.0,35.0,32.5
16252,Garlic Dry Chinese,2014-04-01,Kg,120.0,125.0,122.5
16253,Garlic Dry Nepali,2014-04-01,Kg,90.0,100.0,95.0
16254,Clive Dry,2014-04-01,Kg,160.0,170.0,165.0
16255,Fish Fresh,2014-04-01,Kg,210.0,220.0,215.0
16256,Tomato Big(Nepali),2014-04-02,Kg,28.0,30.0,29.0
16257,Tomato Small(Local),2014-04-02,Kg,36.0,45.0,40.5
16258,Potato Red,2014-04-02,Kg,22.0,24.0,23.0
16259,Onion Dry (Indian),2014-04-02,Kg,27.0,29.0,28.0
16260,Carrot(Local),2014-04-02,Kg,25.0,32.0,28.5
16261,Cabbage(Local),2014-04-02,Kg,18.0,20.0,19.0
16262,Cauli Local,2014-04-02,Kg,18.0,20.0,19.0
16263,Raddish Red,2014-04-02,Kg,30.0,35.0,32.5
16264,Raddish White(Local),2014-04-02,Kg,18.0,22.0,20.0
16265,Brinjal Long,2014-04-02,Kg,30.0,32.0,31.0
16266,Brinjal Round,2014-04-02,Kg,30.0,35.0,32.5
16267,Cow pea(Long),2014-04-02,Kg,80.0,90.0,85.0
16268,Green Peas,2014-04-02,Kg,40.0,50.0,45.0
16269,French Bean(Local),2014-04-02,Kg,40.0,50.0,45.0
16270,Sword Bean,2014-04-02,Kg,30.0,35.0,32.5
16271,Bitter Gourd,2014-04-02,Kg,70.0,75.0,72.5
16272,Bottle Gourd,2014-04-02,Kg,25.0,30.0,27.5
16273,Pointed Gourd(Local),2014-04-02,Kg,60.0,65.0,62.5
16274,Smooth Gourd,2014-04-02,Kg,60.0,65.0,62.5
16275,Pumpkin,2014-04-02,Kg,30.0,35.0,32.5
16276,Squash(Long),2014-04-02,Kg,16.0,20.0,18.0
16277,Turnip,2014-04-02,Kg,35.0,40.0,37.5
16278,Okara,2014-04-02,Kg,70.0,75.0,72.5
16279,Sweet Potato,2014-04-02,Kg,45.0,50.0,47.5
16280,Barela,2014-04-02,Kg,30.0,35.0,32.5
16281,Arum,2014-04-02,Kg,45.0,50.0,47.5
16282,Christophine,2014-04-02,Kg,32.0,34.0,33.0
16283,Brd Leaf Mustard,2014-04-02,Kg,25.0,30.0,27.5
16284,Spinach Leaf,2014-04-02,Kg,30.0,35.0,32.5
16285,Cress Leaf,2014-04-02,Kg,35.0,40.0,37.5
16286,Mustard Leaf,2014-04-02,Kg,35.0,40.0,37.5
16287,Fenugreek Leaf,2014-04-02,Kg,35.0,40.0,37.5
16288,Onion Green,2014-04-02,Kg,35.0,40.0,37.5
16289,Bakula,2014-04-02,Kg,28.0,30.0,29.0
16290,Yam,2014-04-02,Kg,34.0,36.0,35.0
16291,Mushroom(Kanya),2014-04-02,Kg,120.0,130.0,125.0
16292,Asparagus,2014-04-02,Kg,300.0,350.0,325.0
16293,Neuro,2014-04-02,Kg,80.0,85.0,82.5
16294,Brocauli,2014-04-02,Kg,45.0,50.0,47.5
16295,Sugarbeet,2014-04-02,Kg,70.0,80.0,75.0
16296,Drumstick,2014-04-02,Kg,120.0,130.0,125.0
16297,Bauhania flower,2014-04-02,Kg,45.0,50.0,47.5
16298,Red Cabbbage,2014-04-02,Kg,80.0,90.0,85.0
16299,Lettuce,2014-04-02,Kg,35.0,40.0,37.5
16300,Knolkhol,2014-04-02,Kg,35.0,40.0,37.5
16301,Celery,2014-04-02,Kg,50.0,55.0,52.5
16302,Fennel Leaf,2014-04-02,Kg,35.0,40.0,37.5
16303,Mint,2014-04-02,Kg,180.0,200.0,190.0
16304,Turnip A,2014-04-02,Kg,35.0,40.0,37.5
16305,Tamarind,2014-04-02,Kg,80.0,85.0,82.5
16306,Bamboo Shoot,2014-04-02,Kg,150.0,160.0,155.0
16307,Tofu,2014-04-02,Kg,65.0,70.0,67.5
16308,Gundruk,2014-04-02,Kg,190.0,200.0,195.0
16309,Apple(Jholey),2014-04-02,Kg,100.0,110.0,105.0
16310,Banana,2014-04-02,Doz,50.0,60.0,55.0
16311,Lime,2014-04-02,Kg,300.0,600.0,450.0
16312,Pomegranate,2014-04-02,Kg,275.0,290.0,282.5
16313,Grapes(Green),2014-04-02,Kg,100.0,110.0,105.0
16314,Orange(Nepali),2014-04-02,Kg,90.0,110.0,100.0
16315,Water Melon(Green),2014-04-02,Kg,25.0,30.0,27.5
16316,Sweet Orange,2014-04-02,Kg,70.0,75.0,72.5
16317,Pineapple,2014-04-02,1 Pc,75.0,80.0,77.5
16318,Cucumber(Local),2014-04-02,Kg,45.0,50.0,47.5
16319,Jack Fruit,2014-04-02,Kg,60.0,70.0,65.0
16320,Papaya(Nepali),2014-04-02,Kg,55.0,60.0,57.5
16321,Sugarcane,2014-04-02,1 Pc,50.0,55.0,52.5
16322,Kinnow,2014-04-02,Kg,60.0,65.0,62.5
16323,Ginger,2014-04-02,Kg,190.0,200.0,195.0
16324,Chilli Dry,2014-04-02,Kg,190.0,200.0,195.0
16325,Chilli Green,2014-04-02,Kg,70.0,80.0,75.0
16326,Capsicum,2014-04-02,Kg,65.0,70.0,67.5
16327,Garlic Green,2014-04-02,Kg,50.0,60.0,55.0
16328,Coriander Green,2014-04-02,Kg,30.0,40.0,35.0
16329,Garlic Dry Chinese,2014-04-02,Kg,120.0,130.0,125.0
16330,Garlic Dry Nepali,2014-04-02,Kg,90.0,100.0,95.0
16331,Fish Fresh,2014-04-02,Kg,210.0,220.0,215.0
16332,Tomato Big(Nepali),2014-04-03,Kg,30.0,35.0,32.5
16333,Tomato Small(Local),2014-04-03,Kg,38.0,45.0,41.5
16334,Potato Red,2014-04-03,Kg,23.0,24.0,23.5
16335,Potato White,2014-04-03,Kg,23.0,24.0,23.5
16336,Onion Dry (Indian),2014-04-03,Kg,27.0,29.0,28.0
16337,Carrot(Local),2014-04-03,Kg,20.0,30.0,25.0
16338,Cabbage(Local),2014-04-03,Kg,16.0,20.0,18.0
16339,Cauli Local,2014-04-03,Kg,18.0,20.0,19.0
16340,Raddish Red,2014-04-03,Kg,30.0,35.0,32.5
16341,Raddish White(Local),2014-04-03,Kg,16.0,20.0,18.0
16342,Brinjal Long,2014-04-03,Kg,30.0,32.0,31.0
16343,Brinjal Round,2014-04-03,Kg,30.0,35.0,32.5
16344,Cow pea(Long),2014-04-03,Kg,40.0,45.0,42.5
16345,Green Peas,2014-04-03,Kg,40.0,46.0,43.0
16346,French Bean(Local),2014-04-03,Kg,40.0,45.0,42.5
16347,Sword Bean,2014-04-03,Kg,35.0,40.0,37.5
16348,Bitter Gourd,2014-04-03,Kg,60.0,70.0,65.0
16349,Bottle Gourd,2014-04-03,Kg,25.0,30.0,27.5
16350,Pointed Gourd(Local),2014-04-03,Kg,65.0,70.0,67.5
16351,Smooth Gourd,2014-04-03,Kg,55.0,60.0,57.5
16352,Sponge Gourd,2014-04-03,Kg,55.0,60.0,57.5
16353,Pumpkin,2014-04-03,Kg,30.0,35.0,32.5
16354,Squash(Long),2014-04-03,Kg,10.0,14.0,12.0
16355,Turnip,2014-04-03,Kg,35.0,40.0,37.5
16356,Okara,2014-04-03,Kg,70.0,75.0,72.5
16357,Sweet Potato,2014-04-03,Kg,50.0,55.0,52.5
16358,Barela,2014-04-03,Kg,30.0,34.0,32.0
16359,Arum,2014-04-03,Kg,40.0,45.0,42.5
16360,Brd Leaf Mustard,2014-04-03,Kg,30.0,35.0,32.5
16361,Spinach Leaf,2014-04-03,Kg,30.0,35.0,32.5
16362,Cress Leaf,2014-04-03,Kg,35.0,40.0,37.5
16363,Mustard Leaf,2014-04-03,Kg,35.0,40.0,37.5
16364,Fenugreek Leaf,2014-04-03,Kg,35.0,40.0,37.5
16365,Onion Green,2014-04-03,Kg,35.0,40.0,37.5
16366,Bakula,2014-04-03,Kg,28.0,30.0,29.0
16367,Yam,2014-04-03,Kg,35.0,40.0,37.5
16368,Mushroom(Kanya),2014-04-03,Kg,120.0,125.0,122.5
16369,Asparagus,2014-04-03,Kg,300.0,400.0,350.0
16370,Neuro,2014-04-03,Kg,70.0,80.0,75.0
16371,Brocauli,2014-04-03,Kg,40.0,45.0,42.5
16372,Sugarbeet,2014-04-03,Kg,70.0,75.0,72.5
16373,Drumstick,2014-04-03,Kg,120.0,130.0,125.0
16374,Bauhania flower,2014-04-03,Kg,45.0,50.0,47.5
16375,Red Cabbbage,2014-04-03,Kg,75.0,80.0,77.5
16376,Lettuce,2014-04-03,Kg,30.0,35.0,32.5
16377,Knolkhol,2014-04-03,Kg,35.0,40.0,37.5
16378,Celery,2014-04-03,Kg,45.0,50.0,47.5
16379,Parseley,2014-04-03,Kg,120.0,130.0,125.0
16380,Fennel Leaf,2014-04-03,Kg,35.0,40.0,37.5
16381,Mint,2014-04-03,Kg,180.0,200.0,190.0
16382,Tamarind,2014-04-03,Kg,85.0,90.0,87.5
16383,Bamboo Shoot,2014-04-03,Kg,150.0,160.0,155.0
16384,Tofu,2014-04-03,Kg,65.0,70.0,67.5
16385,Gundruk,2014-04-03,Kg,190.0,200.0,195.0
16386,Apple(Jholey),2014-04-03,Kg,100.0,110.0,105.0
16387,Banana,2014-04-03,Doz,60.0,70.0,65.0
16388,Lime,2014-04-03,Kg,300.0,600.0,450.0
16389,Pomegranate,2014-04-03,Kg,260.0,290.0,275.0
16390,Grapes(Green),2014-04-03,Kg,100.0,110.0,105.0
16391,Orange(Nepali),2014-04-03,Kg,90.0,100.0,95.0
16392,Water Melon(Green),2014-04-03,Kg,25.0,30.0,27.5
16393,Sweet Orange,2014-04-03,Kg,85.0,90.0,87.5
16394,Pineapple,2014-04-03,1 Pc,80.0,85.0,82.5
16395,Cucumber(Local),2014-04-03,Kg,45.0,55.0,50.0
16396,Jack Fruit,2014-04-03,Kg,50.0,60.0,55.0
16397,Pear(Local),2014-04-03,Kg,140.0,150.0,145.0
16398,Papaya(Nepali),2014-04-03,Kg,55.0,60.0,57.5
16399,Sugarcane,2014-04-03,1 Pc,50.0,55.0,52.5
16400,Kinnow,2014-04-03,Kg,60.0,65.0,62.5
16401,Ginger,2014-04-03,Kg,190.0,200.0,195.0
16402,Chilli Dry,2014-04-03,Kg,200.0,220.0,210.0
16403,Chilli Green,2014-04-03,Kg,55.0,65.0,60.0
16404,Capsicum,2014-04-03,Kg,70.0,80.0,75.0
16405,Garlic Green,2014-04-03,Kg,50.0,60.0,55.0
16406,Coriander Green,2014-04-03,Kg,30.0,35.0,32.5
16407,Garlic Dry Chinese,2014-04-03,Kg,115.0,120.0,117.5
16408,Garlic Dry Nepali,2014-04-03,Kg,85.0,90.0,87.5
16409,Fish Fresh,2014-04-03,Kg,210.0,220.0,215.0
16410,Tomato Big(Nepali),2014-04-04,Kg,30.0,35.0,32.5
16411,Tomato Small(Local),2014-04-04,Kg,38.0,45.0,41.5
16412,Potato Red,2014-04-04,Kg,23.0,24.0,23.5
16413,Potato White,2014-04-04,Kg,23.0,24.0,23.5
16414,Onion Dry (Indian),2014-04-04,Kg,27.0,29.0,28.0
16415,Carrot(Local),2014-04-04,Kg,30.0,36.0,33.0
16416,Cabbage(Local),2014-04-04,Kg,16.0,20.0,18.0
16417,Cauli Local,2014-04-04,Kg,20.0,25.0,22.5
16418,Raddish Red,2014-04-04,Kg,30.0,36.0,33.0
16419,Raddish White(Local),2014-04-04,Kg,18.0,22.0,20.0
16420,Brinjal Long,2014-04-04,Kg,30.0,35.0,32.5
16421,Brinjal Round,2014-04-04,Kg,35.0,36.0,35.5
16422,Cow pea(Long),2014-04-04,Kg,70.0,75.0,72.5
16423,Green Peas,2014-04-04,Kg,40.0,50.0,45.0
16424,French Bean(Local),2014-04-04,Kg,40.0,50.0,45.0
16425,Sword Bean,2014-04-04,Kg,35.0,38.0,36.5
16426,Bitter Gourd,2014-04-04,Kg,70.0,80.0,75.0
16427,Bottle Gourd,2014-04-04,Kg,30.0,36.0,33.0
16428,Pointed Gourd(Local),2014-04-04,Kg,75.0,80.0,77.5
16429,Smooth Gourd,2014-04-04,Kg,60.0,65.0,62.5
16430,Pumpkin,2014-04-04,Kg,28.0,32.0,30.0
16431,Squash(Long),2014-04-04,Kg,8.0,12.0,10.0
16432,Turnip,2014-04-04,Kg,35.0,40.0,37.5
16433,Okara,2014-04-04,Kg,70.0,80.0,75.0
16434,Sweet Potato,2014-04-04,Kg,50.0,60.0,55.0
16435,Barela,2014-04-04,Kg,30.0,34.0,32.0
16436,Arum,2014-04-04,Kg,45.0,50.0,47.5
16437,Christophine,2014-04-04,Kg,34.0,36.0,35.0
16438,Brd Leaf Mustard,2014-04-04,Kg,25.0,30.0,27.5
16439,Spinach Leaf,2014-04-04,Kg,40.0,45.0,42.5
16440,Cress Leaf,2014-04-04,Kg,45.0,50.0,47.5
16441,Mustard Leaf,2014-04-04,Kg,35.0,40.0,37.5
16442,Fenugreek Leaf,2014-04-04,Kg,40.0,45.0,42.5
16443,Onion Green,2014-04-04,Kg,45.0,50.0,47.5
16444,Bakula,2014-04-04,Kg,30.0,35.0,32.5
16445,Mushroom(Kanya),2014-04-04,Kg,120.0,130.0,125.0
16446,Asparagus,2014-04-04,Kg,350.0,400.0,375.0
16447,Neuro,2014-04-04,Kg,80.0,90.0,85.0
16448,Brocauli,2014-04-04,Kg,35.0,40.0,37.5
16449,Sugarbeet,2014-04-04,Kg,55.0,60.0,57.5
16450,Drumstick,2014-04-04,Kg,130.0,160.0,145.0
16451,Bauhania flower,2014-04-04,Kg,50.0,55.0,52.5
16452,Red Cabbbage,2014-04-04,Kg,70.0,80.0,75.0
16453,Lettuce,2014-04-04,Kg,30.0,35.0,32.5
16454,Knolkhol,2014-04-04,Kg,35.0,40.0,37.5
16455,Celery,2014-04-04,Kg,50.0,60.0,55.0
16456,Parseley,2014-04-04,Kg,150.0,160.0,155.0
16457,Fennel Leaf,2014-04-04,Kg,40.0,45.0,42.5
16458,Mint,2014-04-04,Kg,175.0,200.0,187.5
16459,Turnip A,2014-04-04,Kg,40.0,45.0,42.5
16460,Tamarind,2014-04-04,Kg,85.0,90.0,87.5
16461,Bamboo Shoot,2014-04-04,Kg,150.0,160.0,155.0
16462,Tofu,2014-04-04,Kg,65.0,70.0,67.5
16463,Gundruk,2014-04-04,Kg,190.0,200.0,195.0
16464,Apple(Jholey),2014-04-04,Kg,100.0,110.0,105.0
16465,Banana,2014-04-04,Doz,60.0,65.0,62.5
16466,Lime,2014-04-04,Kg,300.0,600.0,450.0
16467,Pomegranate,2014-04-04,Kg,275.0,300.0,287.5
16468,Grapes(Green),2014-04-04,Kg,100.0,110.0,105.0
16469,Orange(Nepali),2014-04-04,Kg,100.0,110.0,105.0
16470,Water Melon(Green),2014-04-04,Kg,85.0,90.0,87.5
16471,Sweet Orange,2014-04-04,Kg,85.0,90.0,87.5
16472,Pineapple,2014-04-04,1 Pc,75.0,80.0,77.5
16473,Cucumber(Local),2014-04-04,Kg,40.0,50.0,45.0
16474,Jack Fruit,2014-04-04,Kg,50.0,55.0,52.5
16475,Papaya(Nepali),2014-04-04,Kg,60.0,70.0,65.0
16476,Sugarcane,2014-04-04,1 Pc,50.0,60.0,55.0
16477,Kinnow,2014-04-04,Kg,65.0,70.0,67.5
16478,Ginger,2014-04-04,Kg,180.0,200.0,190.0
16479,Chilli Dry,2014-04-04,Kg,200.0,220.0,210.0
16480,Chilli Green,2014-04-04,Kg,55.0,65.0,60.0
16481,Capsicum,2014-04-04,Kg,70.0,80.0,75.0
16482,Garlic Green,2014-04-04,Kg,50.0,60.0,55.0
16483,Coriander Green,2014-04-04,Kg,40.0,45.0,42.5
16484,Garlic Dry Chinese,2014-04-04,Kg,115.0,120.0,117.5
16485,Garlic Dry Nepali,2014-04-04,Kg,80.0,90.0,85.0
16486,Fish Fresh,2014-04-04,Kg,210.0,220.0,215.0
16487,Tomato Big(Nepali),2014-04-06,Kg,30.0,35.0,32.5
16488,Tomato Small(Local),2014-04-06,Kg,40.0,46.0,43.0
16489,Potato Red,2014-04-06,Kg,24.0,25.0,24.5
16490,Potato White,2014-04-06,Kg,23.0,24.0,23.5
16491,Onion Dry (Indian),2014-04-06,Kg,28.0,30.0,29.0
16492,Carrot(Local),2014-04-06,Kg,28.0,35.0,31.5
16493,Cabbage(Local),2014-04-06,Kg,16.0,20.0,18.0
16494,Cauli Local,2014-04-06,Kg,24.0,28.0,26.0
16495,Raddish Red,2014-04-06,Kg,30.0,35.0,32.5
16496,Raddish White(Local),2014-04-06,Kg,20.0,25.0,22.5
16497,Brinjal Long,2014-04-06,Kg,30.0,34.0,32.0
16498,Cow pea(Long),2014-04-06,Kg,50.0,60.0,55.0
16499,Green Peas,2014-04-06,Kg,38.0,45.0,41.5
16500,French Bean(Local),2014-04-06,Kg,38.0,45.0,41.5
16501,Sword Bean,2014-04-06,Kg,30.0,35.0,32.5
16502,Bottle Gourd,2014-04-06,Kg,80.0,90.0,85.0
16503,Pointed Gourd(Local),2014-04-06,Kg,65.0,70.0,67.5
16504,Smooth Gourd,2014-04-06,Kg,50.0,60.0,55.0
16505,Pumpkin,2014-04-06,Kg,28.0,32.0,30.0
16506,Squash(Long),2014-04-06,Kg,8.0,12.0,10.0
16507,Turnip,2014-04-06,Kg,35.0,40.0,37.5
16508,Okara,2014-04-06,Kg,60.0,70.0,65.0
16509,Sweet Potato,2014-04-06,Kg,50.0,60.0,55.0
16510,Barela,2014-04-06,Kg,30.0,35.0,32.5
16511,Arum,2014-04-06,Kg,50.0,55.0,52.5
16512,Christophine,2014-04-06,Kg,30.0,32.0,31.0
16513,Brd Leaf Mustard,2014-04-06,Kg,25.0,30.0,27.5
16514,Spinach Leaf,2014-04-06,Kg,35.0,40.0,37.5
16515,Cress Leaf,2014-04-06,Kg,40.0,45.0,42.5
16516,Mustard Leaf,2014-04-06,Kg,35.0,40.0,37.5
16517,Fenugreek Leaf,2014-04-06,Kg,40.0,45.0,42.5
16518,Onion Green,2014-04-06,Kg,50.0,55.0,52.5
16519,Bakula,2014-04-06,Kg,28.0,30.0,29.0
16520,Yam,2014-04-06,Kg,34.0,36.0,35.0
16521,Mushroom(Kanya),2014-04-06,Kg,120.0,125.0,122.5
16522,Asparagus,2014-04-06,Kg,350.0,400.0,375.0
16523,Neuro,2014-04-06,Kg,70.0,80.0,75.0
16524,Brocauli,2014-04-06,Kg,40.0,40.0,40.0
16525,Sugarbeet,2014-04-06,Kg,65.0,70.0,67.5
16526,Drumstick,2014-04-06,Kg,130.0,150.0,140.0
16527,Bauhania flower,2014-04-06,Kg,50.0,60.0,55.0
16528,Red Cabbbage,2014-04-06,Kg,80.0,90.0,85.0
16529,Lettuce,2014-04-06,Kg,35.0,40.0,37.5
16530,Knolkhol,2014-04-06,Kg,40.0,45.0,42.5
16531,Celery,2014-04-06,Kg,50.0,60.0,55.0
16532,Parseley,2014-04-06,Kg,150.0,160.0,155.0
16533,Fennel Leaf,2014-04-06,Kg,40.0,45.0,42.5
16534,Mint,2014-04-06,Kg,175.0,200.0,187.5
16535,Turnip A,2014-04-06,Kg,40.0,45.0,42.5
16536,Tamarind,2014-04-06,Kg,85.0,90.0,87.5
16537,Bamboo Shoot,2014-04-06,Kg,150.0,160.0,155.0
16538,Tofu,2014-04-06,Kg,65.0,70.0,67.5
16539,Gundruk,2014-04-06,Kg,190.0,200.0,195.0
16540,Apple(Jholey),2014-04-06,Kg,100.0,110.0,105.0
16541,Banana,2014-04-06,Doz,50.0,60.0,55.0
16542,Lime,2014-04-06,Kg,300.0,600.0,450.0
16543,Pomegranate,2014-04-06,Kg,270.0,290.0,280.0
16544,Grapes(Green),2014-04-06,Kg,100.0,110.0,105.0
16545,Orange(Nepali),2014-04-06,Kg,95.0,100.0,97.5
16546,Water Melon(Green),2014-04-06,Kg,22.0,25.0,23.5
16547,Sweet Orange,2014-04-06,Kg,85.0,90.0,87.5
16548,Pineapple,2014-04-06,1 Pc,80.0,85.0,82.5
16549,Cucumber(Local),2014-04-06,Kg,50.0,60.0,55.0
16550,Jack Fruit,2014-04-06,Kg,50.0,55.0,52.5
16551,Pear(Local),2014-04-06,Kg,140.0,150.0,145.0
16552,Papaya(Nepali),2014-04-06,Kg,60.0,65.0,62.5
16553,Sugarcane,2014-04-06,1 Pc,50.0,60.0,55.0
16554,Kinnow,2014-04-06,Kg,65.0,70.0,67.5
16555,Ginger,2014-04-06,Kg,160.0,190.0,175.0
16556,Chilli Dry,2014-04-06,Kg,200.0,220.0,210.0
16557,Chilli Green,2014-04-06,Kg,50.0,60.0,55.0
16558,Capsicum,2014-04-06,Kg,75.0,85.0,80.0
16559,Garlic Green,2014-04-06,Kg,50.0,60.0,55.0
16560,Coriander Green,2014-04-06,Kg,35.0,40.0,37.5
16561,Garlic Dry Chinese,2014-04-06,Kg,115.0,120.0,117.5
16562,Garlic Dry Nepali,2014-04-06,Kg,75.0,80.0,77.5
16563,Fish Fresh,2014-04-06,Kg,210.0,220.0,215.0
16564,Tomato Big(Nepali),2014-04-07,Kg,30.0,35.0,32.5
16565,Tomato Small(Local),2014-04-07,Kg,40.0,45.0,42.5
16566,Potato Red,2014-04-07,Kg,25.0,26.0,25.5
16567,Potato White,2014-04-07,Kg,23.0,24.0,23.5
16568,Onion Dry (Indian),2014-04-07,Kg,28.0,30.0,29.0
16569,Carrot(Local),2014-04-07,Kg,25.0,30.0,27.5
16570,Cabbage(Local),2014-04-07,Kg,16.0,20.0,18.0
16571,Cauli Local,2014-04-07,Kg,18.0,25.0,21.5
16572,Raddish Red,2014-04-07,Kg,30.0,35.0,32.5
16573,Raddish White(Local),2014-04-07,Kg,18.0,22.0,20.0
16574,Brinjal Long,2014-04-07,Kg,28.0,32.0,30.0
16575,Cow pea(Long),2014-04-07,Kg,50.0,58.0,54.0
16576,Green Peas,2014-04-07,Kg,45.0,50.0,47.5
16577,French Bean(Local),2014-04-07,Kg,38.0,45.0,41.5
16578,Sword Bean,2014-04-07,Kg,22.0,30.0,26.0
16579,Bitter Gourd,2014-04-07,Kg,75.0,85.0,80.0
16580,Bottle Gourd,2014-04-07,Kg,26.0,30.0,28.0
16581,Pointed Gourd(Local),2014-04-07,Kg,60.0,65.0,62.5
